Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1014,egnition_sample_1801@egnition.com,refunded,,unfulfilled,,no,INR,229.00,0.00,0.00,229.00,"",0.00,"",2026-08-26 17:27:52 +0530,1,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK - 4 / black,229.00,,DM-02-4-black,false,true,pending,Delores Lubowitz,1 College St,1 College St,,,Sydney,'2000,NSW,AU,+61423457102,Gayle Brakus,11 Pilgrim St,11 Pilgrim St,,,London,EC4V 6RN,ENG,GB,+441212125123,,"",,"","",0.00,DR MARTENS,229.00,,,,9699509600342,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,New South Wales,England,,,,
#1013,egnition_sample_1801@egnition.com,refunded,,unfulfilled,,no,INR,229.90,0.00,0.00,229.90,"",0.00,"",2026-08-26 17:27:51 +0530,1,VANS | AUTHENTIC (BUTTERFLY) TRUE | WHITE / BLACK - 4 / white,109.95,,VN-03-4-white,false,true,pending,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,Hollis Russel,14 Damfaret St,14 Damfaret St,,,Oslo,'0890,,NO,+4792913517,,"",,"","",0.00,VANS,229.90,,,,9699509469270,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,Texas,,,,,
#1013,egnition_sample_1801@egnition.com,,,,,,,,,,,,,,2026-08-26 17:27:51 +0530,1,VANS | CLASSIC SLIP-ON (PERFORATED SUEDE) - 4 / beige,119.95,"",VN-09-4-beige,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,VANS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1012,egnition_sample_5908@egnition.com,paid,,unfulfilled,,no,INR,109.95,0.00,0.00,109.95,"",0.00,"",2026-08-26 17:27:50 +0530,1,VANS | ERA 59 (DESERT COWBOY) - 9 / light_brown,109.95,,VN-06-9-light_brown,false,true,pending,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,Ruthe Hammes,10 Cahill Street,10 Cahill Street,,,San Jose,'95156,CA,US,+15123325630,,"",,"","",0.00,VANS,109.95,,,,9699509436502,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,Texas,California,,,,
#1011,egnition_sample_1195@egnition.com,pending,,unfulfilled,,no,INR,159.95,0.00,0.00,159.95,"",0.00,"",2026-08-26 17:27:49 +0530,1,PALLADIUM | PALLATECH HI TX | CHEVRON - 9 / red,159.95,,"PAL-01
-9-red",false,true,pending,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,Noe Hartmann,1 La Rambla street,1 La Rambla street,,,Barcelona,'08002,B,ES,+34789216317,,"",,"","",0.00,PALLADIUM,159.95,,,,9699509403734,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,Texas,Barcelona,,,,
#1010,egnition_sample_1801@egnition.com,pending,,unfulfilled,,no,INR,279.90,0.00,0.00,279.90,"",0.00,"",2026-08-26 17:26:52 +0530,1,HERSCHEL | IONA - OS / black,119.95,,H-01-OS-black,false,true,pending,Hollis Russel,14 Damfaret St,14 Damfaret St,,,Oslo,'0890,,NO,+4792913517,Gayle Brakus,11 Pilgrim St,11 Pilgrim St,,,London,EC4V 6RN,ENG,GB,+441212125123,,"",,"","",0.00,HERSCHEL,279.90,,,,9699507732566,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,,England,,,,
#1010,egnition_sample_1801@egnition.com,,,,,,,,,,,,,,2026-08-26 17:26:52 +0530,1,PALLADIUM | PALLATECH HI TX | CHEVRON - 9 / red,159.95,"","PAL-01
-9-red",false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,PALLADIUM,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1009,egnition_sample_1195@egnition.com,paid,,unfulfilled,,no,INR,99.95,0.00,0.00,99.95,"",0.00,"",2026-08-26 17:26:51 +0530,1,VANS | AUTHENTIC | (MULTI EYELETS) | GRADIENT/CRIMSON - 5 / red,99.95,,VN-02-5-red,false,true,pending,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,Shanon Wilderman,22 Boulevard Chave,22 Boulevard Chave,,,13,'13005,,FR,+33490206437,,"",,"","",0.00,VANS,99.95,,,,9699507667030,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,Texas,,,,,
#1008,egnition_sample_8797@egnition.com,refunded,,unfulfilled,,no,INR,299.90,0.00,0.00,299.90,"",0.00,"",2026-08-26 17:26:50 +0530,1,SUPRA | MENS VAIDER - 9 / gray,169.95,,su-01-9-gray,false,true,pending,Hollis Russel,14 Damfaret St,14 Damfaret St,,,Oslo,'0890,,NO,+4792913517,Shanon Wilderman,22 Boulevard Chave,22 Boulevard Chave,,,13,'13005,,FR,+33490206437,,"",,"","",0.00,SUPRA,299.90,,,,9699507601494,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1008,egnition_sample_8797@egnition.com,,,,,,,,,,,,,,2026-08-26 17:26:50 +0530,1,VANS | OLD SKOOL (BUTTERFLY) TRUE WHITE | BLACK - 4 / white,129.95,"",VN-08-4-white,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,VANS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1007,egnition_sample_2096@egnition.com,paid,,unfulfilled,,no,INR,159.95,0.00,0.00,159.95,"",0.00,"",2026-08-26 17:26:49 +0530,1,PALLADIUM | PALLATECH HI TX | CHEVRON - 9 / red,159.95,,"PAL-01
-9-red",false,true,pending,Shanon Wilderman,22 Boulevard Chave,22 Boulevard Chave,,,13,'13005,,FR,+33490206437,Delores Lubowitz,1 College St,1 College St,,,Sydney,'2000,NSW,AU,+61423457102,,"",,"","",0.00,PALLADIUM,159.95,,,,9699507535958,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,,New South Wales,,,,
#1006,egnition_sample_1599@egnition.com,paid,,unfulfilled,,no,INR,240.00,0.00,0.00,240.00,"",0.00,"",2026-08-26 17:26:48 +0530,1,NIKE | TODDLER ROSHE ONE - 4 / black,70.00,,NK-02-4-black,false,true,pending,Delores Lubowitz,1 College St,1 College St,,,Sydney,'2000,NSW,AU,+61423457102,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,,"",,"","",0.00,NIKE,240.00,,,,9699507372118,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,New South Wales,Texas,,,,
#1006,egnition_sample_1599@egnition.com,,,,,,,,,,,,,,2026-08-26 17:26:48 +0530,1,ADIDAS | SUPERSTAR 80S - 5 / white,170.00,"",AD-01-5-white,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1005,egnition_sample_3927@egnition.com,pending,,unfulfilled,,no,INR,529.90,0.00,0.00,529.90,"",0.00,"",2026-08-26 17:25:52 +0530,1,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR - OS / blue,50.00,,"AD-04
-OS-blue",false,true,pending,Keira Friesen,"P.O. Box 550, 344 Et Rd.","P.O. Box 550, 344 Et Rd.",,,Saint-Lo,'46597,,DM,+18094526204,Noe Hartmann,1 La Rambla street,1 La Rambla street,,,Barcelona,'08002,B,ES,+34789216317,,"",,"","",0.00,ADIDAS,529.90,,,,9699506094166,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,,Barcelona,,,,
#1005,egnition_sample_3927@egnition.com,,,,,,,,,,,,,,2026-08-26 17:25:52 +0530,1,VANS | SK8-HI DECON (CUTOUT)| LEAVES/WHITE - 4 / white,179.95,"","VN-05
-4-white",false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,VANS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1005,egnition_sample_3927@egnition.com,,,,,,,,,,,,,,2026-08-26 17:25:52 +0530,1,TIMBERLAND | MENS 6 INCH PREMIUM BOOT - 7 / yellow,299.95,"",TM-01-7-yellow,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMBERLAND,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1004,egnition_sample_3927@egnition.com,refunded,,unfulfilled,,no,INR,350.00,0.00,0.00,350.00,"",0.00,"",2026-08-26 17:25:50 +0530,1,CONVERSE | CHUCK TAYLOR ALL STAR II HI - 4 / black,140.00,,C-02-4-black,false,true,pending,Gayle Brakus,11 Pilgrim St,11 Pilgrim St,,,London,EC4V 6RN,ENG,GB,+441212125123,Keira Friesen,"P.O. Box 550, 344 Et Rd.","P.O. Box 550, 344 Et Rd.",,,Saint-Lo,'46597,,DM,+18094526204,,"",,"","",0.00,CONVERSE,350.00,,,,9699506028630,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,England,,,,,
#1004,egnition_sample_3927@egnition.com,,,,,,,,,,,,,,2026-08-26 17:25:50 +0530,1,PUMA | SUEDE CLASSIC REGAL - 5 / red,110.00,"",PM-01-5-red,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1004,egnition_sample_3927@egnition.com,,,,,,,,,,,,,,2026-08-26 17:25:50 +0530,1,CONVERSE | CHUCK TAYLOR ALL STAR LO - 3 / white,100.00,"",C-01-3-white,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,CONVERSE,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1003,egnition_sample_0041@egnition.com,refunded,,unfulfilled,,no,INR,219.95,0.00,0.00,219.95,"",0.00,"",2026-08-26 17:25:49 +0530,1,NIKE | TODDLER ROSHE ONE - 4 / black,70.00,,NK-02-4-black,false,true,pending,Claudine Larkin,4 Mooney St,4 Mooney St,,,Dallas,'65725,TX,US,+15123326370,Keira Friesen,"P.O. Box 550, 344 Et Rd.","P.O. Box 550, 344 Et Rd.",,,Saint-Lo,'46597,,DM,+18094526204,,"",,"","",0.00,NIKE,219.95,,,,9699505963094,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,Texas,,,,,
#1003,egnition_sample_0041@egnition.com,,,,,,,,,,,,,,2026-08-26 17:25:49 +0530,1,NIKE | SWOOSH PRO FLAT PEAK CAP - OS / white,30.00,"",NK-03-OS-white,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKE,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1003,egnition_sample_0041@egnition.com,,,,,,,,,,,,,,2026-08-26 17:25:49 +0530,1,"VANS |
ERA 59 MOROCCAN | GEO/DRESS BLUES - 8 / blue",119.95,"",VN-04-8-blue,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,VANS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1002,egnition_sample_1195@egnition.com,pending,,unfulfilled,,no,INR,339.00,0.00,0.00,339.00,"",0.00,"",2026-08-26 17:25:48 +0530,1,PUMA | SUEDE CLASSIC REGAL - 5 / red,110.00,,PM-01-5-red,false,true,pending,Delores Lubowitz,1 College St,1 College St,,,Sydney,'2000,NSW,AU,+61423457102,Delores Lubowitz,1 College St,1 College St,,,Sydney,'2000,NSW,AU,+61423457102,,"",,"","",0.00,PUMA,339.00,,,,9699505930326,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,New South Wales,New South Wales,,,,
#1002,egnition_sample_1195@egnition.com,,,,,,,,,,,,,,2026-08-26 17:25:48 +0530,1,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH - 5 / black,229.00,"",DM-01-5-black,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,DR MARTENS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1001,egnition_sample_1801@egnition.com,pending,,unfulfilled,,no,INR,129.95,0.00,0.00,129.95,"",0.00,"",2026-08-26 17:25:47 +0530,1,VANS | OLD SKOOL (BUTTERFLY) TRUE WHITE | BLACK - 4 / white,129.95,,VN-08-4-white,false,true,pending,Delores Lubowitz,1 College St,1 College St,,,Sydney,'2000,NSW,AU,+61423457102,Yazmin Heaney,16 Merchants Row,16 Merchants Row,,,Boston,'02109,MA,US,+15123452159,,"",,"","",0.00,VANS,129.95,,,,9699505864790,"clothes, egnition-sample-data",Low,1608003,0.00,,,,,,,,,,,,,,New South Wales,Massachusetts,,,,
